timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_qdd_0 target_qdd_1 target_qdd_2 target_qdd_3 target_qdd_4 target_qdd_5
0.344 0.07607314285714288 0.06762057142857143 0.05916800000000001 0.05071542857142858 -0.04226285714285715 0.0008452571428571431 0.44228571428571434 0.3931428571428571 0.34400000000000003 0.2948571428571429 -0.24571428571428575 0.004914285714285715 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.352 0.07965257142857142 0.0708022857142857 0.06195199999999999 0.05310171428571428 -0.04425142857142857 0.0008850285714285714 0.45257142857142857 0.40228571428571425 0.352 0.30171428571428566 -0.25142857142857145 0.005028571428571429 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.36 0.08331428571428572 0.07405714285714285 0.0648 0.05554285714285714 -0.046285714285714284 0.0009257142857142858 0.46285714285714286 0.41142857142857137 0.36 0.30857142857142855 -0.2571428571428571 0.0051428571428571435 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.368 0.08705828571428571 0.07738514285714285 0.067712 0.058038857142857135 -0.04836571428571428 0.0009673142857142857 0.47314285714285714 0.42057142857142854 0.368 0.3154285714285714 -0.26285714285714284 0.005257142857142858 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.376 0.09088457142857144 0.08078628571428571 0.070688 0.06058971428571428 -0.050491428571428576 0.0010098285714285715 0.4834285714285715 0.4297142857142857 0.376 0.3222857142857143 -0.26857142857142857 0.005371428571428572 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.384 0.09479314285714287 0.08426057142857142 0.073728 0.06319542857142857 -0.05266285714285714 0.001053257142857143 0.49371428571428577 0.43885714285714283 0.384 0.3291428571428571 -0.2742857142857143 0.0054857142857142865 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.392 0.09878400000000002 0.08780800000000001 0.07683200000000001 0.06585600000000001 -0.05488000000000001 0.0010976000000000002 0.504 0.448 0.392 0.336 -0.28 0.005600000000000001 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.4 0.10285714285714288 0.09142857142857144 0.08000000000000002 0.06857142857142857 -0.057142857142857155 0.0011428571428571432 0.5142857142857143 0.45714285714285713 0.4 0.34285714285714286 -0.28571428571428575 0.005714285714285715 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.408 0.10701257142857146 0.09512228571428573 0.08323200000000001 0.0713417142857143 -0.059451428571428586 0.0011890285714285717 0.5245714285714287 0.4662857142857143 0.40800000000000003 0.3497142857142857 -0.2914285714285715 0.0058285714285714295 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
0.416 0.11125028571428575 0.09888914285714287 0.08652800000000002 0.07416685714285716 -0.061805714285714304 0.0012361142857142862 0.5348571428571429 0.4754285714285714 0.41600000000000004 0.3565714285714286 -0.29714285714285715 0.005942857142857144 1.2857142857142858 1.1428571428571428 1.0 0.8571428571428571 -0.7142857142857143 0.014285714285714287 
