timestamp target_q_0 target_qd_0 target_qdd_0
1.1988572 -0.7102706125091818 1.04 0.0 
1.2068571 -0.7019506125091818 1.04 0.0 
1.2148571 -0.6936306125091818 1.04 0.0 
1.2228571 -0.6853106125091817 1.04 0.0 
1.2308571 -0.6769906125091818 1.04 0.0 
1.2388572 -0.6686706125091817 1.04 0.0 
1.2468572 -0.6603506125091817 1.04 0.0 
1.2548572 -0.6520306125091817 1.04 0.0 
1.2628572 -0.6437106125091817 1.04 0.0 
1.2708571 -0.6353906125091817 1.04 0.0 
1.2788571 -0.6270706125091817 1.04 0.0 
1.2868571 -0.6187506125091817 1.04 0.0 
1.2948571 -0.6104306125091817 1.04 0.0 
1.3028572 -0.6021106125091816 1.04 0.0 
1.3108572 -0.5937906125091816 1.04 0.0 
1.3188572 -0.5854706125091816 1.04 0.0 
1.3268571 -0.5771506125091816 1.04 0.0 
1.3348571 -0.5688306125091817 1.04 0.0 
1.3428571 -0.5605106125091817 1.04 0.0 
1.3508571 -0.5521906125091817 1.04 0.0 
1.3588572 -0.5438706125091817 1.04 0.0 
1.3668572 -0.5355506125091816 1.04 0.0 
1.3748572 -0.5272306125091816 1.04 0.0 
1.3828571 -0.5189106125091816 1.04 0.0 
1.3908571 -0.5105906125091816 1.04 0.0 
1.3988571 -0.5022706125091816 1.04 0.0 
1.4068571 -0.4939506125091816 1.04 0.0 
1.4148571 -0.4856306125091816 1.04 0.0 
1.4228572 -0.4773106125091816 1.04 0.0 
1.4308572 -0.4689906125091815 1.04 0.0 
1.4388572 -0.4606706125091815 1.04 0.0 
1.4468571 -0.4523506125091815 1.04 0.0 
1.4548571 -0.4440306125091815 1.04 0.0 
1.4628571 -0.4357106125091815 1.04 0.0 
1.4708571 -0.42739061250918153 1.04 0.0 
1.4788572 -0.41907061250918154 1.04 0.0 
1.4868572 -0.41075061250918155 1.04 0.0 
1.4948572 -0.40243061250918144 1.04 0.0 
1.5028571 -0.39411061250918145 1.04 0.0 
1.5108571 -0.38579061250918145 1.04 0.0 
1.5188571 -0.37747061250918146 1.04 0.0 
1.5268571 -0.36915061250918146 1.04 0.0 
1.5348572 -0.36083061250918147 1.04 0.0 
1.5428572 -0.3525106125091815 1.04 0.0 
1.5508572 -0.3441906125091815 1.04 0.0 
1.5588571 -0.3358706125091814 1.04 0.0 
1.5668571 -0.3275506125091814 1.04 0.0 
1.5748571 -0.3192306125091814 1.04 0.0 
1.5828571 -0.3109106125091814 1.04 0.0 
1.5908571 -0.3025906125091814 1.04 0.0 
1.5988572 -0.2942706125091814 1.04 0.0 
1.6068572 -0.2859506125091814 1.04 0.0 
1.6148572 -0.2776306125091814 1.04 0.0 
1.6228571 -0.2693106125091814 1.04 0.0 
1.6308571 -0.2609906125091813 1.04 0.0 
1.6388571 -0.2526706125091813 1.04 0.0 
1.6468571 -0.24435061250918133 1.04 0.0 
1.6548572 -0.23603061250918134 1.04 0.0 
1.6628572 -0.22771061250918134 1.04 0.0 
1.6708572 -0.21939061250918135 1.04 0.0 
1.6788571 -0.21107061250918135 1.04 0.0 
1.6868571 -0.20275061250918136 1.04 0.0 
1.6948571 -0.19443061250918126 1.04 0.0 
1.7028571 -0.18611061250918126 1.04 0.0 
1.7108572 -0.17779061250918127 1.04 0.0 
1.7188572 -0.16947061250918138 1.04 0.0 
1.7268572 -0.16115061250918128 1.04 0.0 
1.7348572 -0.15283061250918117 1.04 0.0 
1.7428571 -0.1445106125091813 1.04 0.0 
1.7508571 -0.13619061250918119 1.04 0.0 
1.7588571 -0.1278706125091813 1.04 0.0 
1.7668571 -0.1195506125091812 1.04 0.0 
1.7748572 -0.11123061250918131 1.04 0.0 
1.7828572 -0.10291061250918121 1.04 0.0 
1.7908572 -0.0945906125091811 1.04 0.0 
1.7988571 -0.08627061250918122 1.04 0.0 
1.8068571 -0.07795061250918112 1.04 0.0 
1.8148571 -0.06963061250918123 1.04 0.0 
1.8228571 -0.06131061250918113 1.04 0.0 
1.8308572 -0.052990612509181245 1.04 0.0 
1.8388572 -0.04467061250918114 1.04 0.0 
1.8468572 -0.03635061250918126 1.04 0.0 
1.8548571 -0.028030612509181152 1.04 0.0 
1.8628571 -0.019710612509181047 1.04 0.0 
